,name,books,world,groups,universe
0,Aarik,White Sand,Taldain,"Taishin,The Tower",Cosmere
1,Aaron,Defending Elysium,Earth (Skyward),Phone Company,Cytoverse
2,Abaray,The Stormlight Archive,Roshar,NA,Cosmere
3,Abiajan,The Stormlight Archive,Roshar,NA,Cosmere
4,Abigail Casey,The Reckoners,Earth (Reckoners),Reckoners,Independent
5,Abraham Desjardins,The Reckoners,Earth (Reckoners),Reckoners,Independent
6,Abrem,Mistborn Era 2,Scadrial,NA,Cosmere
7,Abrial,The Stormlight Archive,Roshar,NA,Cosmere
8,Abrobadar,The Stormlight Archive,Roshar,NA,Cosmere
9,Abronai,The Stormlight Archive,Roshar,Council of Five,Cosmere
10,Abry,The Stormlight Archive,Roshar,Amaram's army,Cosmere
11,Absence,The Reckoners,Earth (Reckoners),NA,Independent
12,Acis,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
13,Acumidian delver,Skyward (series),,NA,Cytoverse
14,Adam Li,The Rithmatist,Earth (Rithmatist),NA,Independent
15,Adam Makings,The Rithmatist,Earth (Rithmatist),NA,Independent
16,Adawathwyn,Mistborn Era 2,Scadrial,NA,Cosmere
17,Adelle Choi,The Rithmatist,Earth (Rithmatist),NA,Independent
18,Adi,Skyward (series),Evershore,NA,Cytoverse
19,Adien,Elantris,Sel,NA,Cosmere
20,Adin,The Stormlight Archive,Roshar,NA,Cosmere
21,Adis,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
22,Adolin Kholin,The Stormlight Archive,Roshar,Kholin army,Cosmere
23,Adoline,Legion,Earth (Legion),Aspect,Independent
24,Adonalsium,Entity,Unknown,NA,Cosmere
25,Adrotagia,The Stormlight Archive,Roshar,Diagram,Cosmere
26,Aeo,Elantris,Sel,NA,Cosmere
27,Aesudan Kholin,The Stormlight Archive,Roshar,NA,Cosmere
28,Agil,The Stormlight Archive,Roshar,Amaram's army,Cosmere
29,Ahan,Elantris,Sel,NA,Cosmere
30,Aharat,The Stormlight Archive,Roshar,NA,Cosmere
31,Ahmes,The Rithmatist,Earth (Rithmatist),NA,Independent
32,Ais,White Sand,Taldain,NA,Cosmere
33,Ala,The Stormlight Archive,Roshar,NA,Cosmere
34,Alabet,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
35,Aladar,The Stormlight Archive,Roshar,NA,Cosmere
36,Alai,The Stormlight Archive,Roshar,NA,Cosmere
37,Alakavish,The Stormlight Archive,Roshar,NA,Cosmere
38,Alalan,The Stormlight Archive,Roshar,NA,Cosmere
39,Alalhawithador,The Stormlight Archive,Roshar,NA,Cosmere
40,Alanik,Skyward (series),ReDawn,NA,Cytoverse
41,Alavah,The Stormlight Archive,Roshar,NA,Cosmere
42,Alaward,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
43,Alaxia,The Stormlight Archive,Roshar,NA,Cosmere
44,Alazansi,The Stormlight Archive,Roshar,NA,Cosmere
45,Alcatraz Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
46,Alds,The Stormlight Archive,Roshar,NA,Cosmere
47,Aledin,Mistborn Era 1,Scadrial,NA,Cosmere
48,Alendi,Mistborn Era 1,Scadrial,NA,Cosmere
49,Alernath,Mistborn Era 2,Scadrial,NA,Cosmere
50,Alezarv,The Stormlight Archive,Roshar,NA,Cosmere
51,Alfir,Skyward (series),Detritus,NA,Cytoverse
52,Algernon Weight,Skyward (series),Detritus,NA,Cytoverse
53,Ali-daughter-Hasweth,The Stormlight Archive,Roshar,NA,Cosmere
54,Alili,The Stormlight Archive,Roshar,NA,Cosmere
55,Alim,The Stormlight Archive,Roshar,NA,Cosmere
56,Allahn,The Stormlight Archive,Roshar,NA,Cosmere
57,Allekatrase,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
58,Allik Neverfar,Mistborn Era 2,Scadrial,NA,Cosmere
59,Allmother,Warbreaker,Nalthis,NA,Cosmere
60,Alloran Feltri,Mistborn Era 2,Scadrial,NA,Cosmere
61,Allri Innate,Mistborn Era 2,Scadrial,NA,Cosmere
62,Allriandre Durkel,Mistborn Era 2,Scadrial,NA,Cosmere
63,Allrianne Cett,Mistborn Era 1,Scadrial,Venture army,Cosmere
64,Allrianne's mother,Mistborn Era 1,Scadrial,NA,Cosmere
65,Alonoe,Mistborn Era 1,Sel,Ire,Cosmere
66,Alstben,The Stormlight Archive,Roshar,NA,Cosmere
67,Altoki,The Stormlight Archive,Roshar,NA,Cosmere
68,Aluki,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
69,Aluko,Skyward (series),Detritus,NA,Cytoverse
70,Alvettaren,The Stormlight Archive,Roshar,NA,Cosmere
71,Amala,Firefight,Earth (Reckoners),NA,Independent
72,Amaranta,Mistborn Era 1,Scadrial,NA,Cosmere
73,Amark,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
74,Ambrian,The Stormlight Archive,Roshar,NA,Cosmere
75,Amuna,The Stormlight Archive,Roshar,NA,Cosmere
76,Ana,The Stormlight Archive,Roshar,NA,Cosmere
77,Andrew Nalizar,The Rithmatist,Earth (Rithmatist),NA,Independent
78,Andy Blackwell,The Original,Earth (The Original),ICON,Independent
79,Anesa,The Stormlight Archive,Roshar,NA,Cosmere
80,Angola Dartmoor,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
81,Annarel,Mistborn Era 2,Scadrial,NA,Cosmere
82,Anola,Dark One,Mirandus,NA,Independent
83,Anthony Davis,Snapshot,Earth (Snapshot),NA,Independent
84,Antillius Shezler,The Eleventh Metal,Scadrial,NA,Cosmere
85,Antique,Skyward (series),Detritus,NA,Cytoverse
86,Aona,Elantris,Sel,NA,Cosmere
87,Apara,The Stormlight Archive,Roshar,NA,Cosmere
88,Ape Manton,Mistborn Era 2,Scadrial,NA,Cosmere
89,Aqqu,The Stormlight Archive,Roshar,NA,Cosmere
90,Aradan Yomen,Mistborn Era 1,Scadrial,NA,Cosmere
91,Arafik,The Stormlight Archive,Roshar,NA,Cosmere
92,Aramine,Mistborn Era 2,Scadrial,NA,Cosmere
93,Aratin Khal,The Stormlight Archive,Roshar,NA,Cosmere
94,Arbitan,Mistborn Era 2,Scadrial,NA,Cosmere
95,Archedis,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
96,Archinal,The Stormlight Archive,Roshar,NA,Cosmere
97,Arclomedarian,The Stormlight Archive,Roshar,NA,Cosmere
98,Ardous Geffenry,Mistborn Era 1,Scadrial,NA,Cosmere
99,Aria,Skyward (series),Evershore,NA,Cytoverse
100,Aric,The Stormlight Archive,Roshar,NA,Cosmere
101,Arik,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
102,Arintol,Mistborn Era 2,Scadrial,NA,Cosmere
103,Armal,Mistborn Era 2,Scadrial,NA,Cosmere
104,Armando,Legion,Earth (Legion),Aspect,Independent
105,Armsman,The Reckoners,Earth (Reckoners),NA,Independent
106,Arnaud,Legion,Earth (Legion),Aspect,Independent
107,Arriev,Mistborn Era 1,Scadrial,NA,Cosmere
108,Arshqqam,The Stormlight Archive,Roshar,"Knights Radiant,Truthwatchers,Tashi's Light Orphanage",Cosmere
109,Arsteel,Warbreaker,Nalthis,"Five Scholars,Denth's crew",Cosmere
110,Artmyrn,The Stormlight Archive,Roshar,NA,Cosmere
111,Arturo Mendez,Skyward (series),Detritus,NA,Cytoverse
112,Ashe,Elantris,Sel,NA,Cosmere
113,Ashelem,The Stormlight Archive,Roshar,Kholin army,Cosmere
